web-scraper-order,web-scraper-start-url,Linking,Linking-href
"1685315150-42","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Magical Art. Surrealism and Magic Realism
                            
                            15 September 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1173ASW109
                                    

                                    
                                        Auction turnover :
                                        812,160 PLN","https://desa.pl/en/art-auctions-results/magical-art-surrealism-and-magic-realism-pbt7/"
"1685315150-43","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Works on Paper Post-War and Contemporary Art
                            
                            13 September 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1172APP113
                                    

                                    
                                        Auction turnover :
                                        821,760 PLN","https://desa.pl/en/art-auctions-results/works-on-paper-post-war-and-contemporary-art-2epa/"
"1685315150-44","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Jewellery. Masterpieces of Art of 19th and 20th Century
                            
                            12 September 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1171ABD043
                                    

                                    
                                        Auction turnover :
                                        369,960 PLN","https://desa.pl/en/art-auctions-results/jewellery-masterpieces-of-art-of-19th-and-20th-century-of4m/"
"1685315150-45","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Works on Paper. 19th Century and Modern Art
                            
                            8 September 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1169APP112
                                    

                                    
                                        Auction turnover :
                                        896,280 PLN","https://desa.pl/en/art-auctions-results/sztuka-dawna-prace-na-papierze-hmb8/"
"1685315150-46","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Art Outlet. 19th Century and Modern Art
                            
                            6 September 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1167WYP068
                                    

                                    
                                        Auction turnover :
                                        635,040 PLN","https://desa.pl/en/art-auctions-results/art-outlet-19th-century-and-modern-art-06bj/"
"1685315150-47","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Young Polish Artists
                            
                            5 September 2022 7 PM CET
                                    
                                        Auction location: Piękna 1A
Warszawa
                                    

                                        Auction code: 1166AMS148
                                    

                                    
                                        Auction turnover :
                                        250,920 PLN","https://desa.pl/en/art-auctions-results/young-polish-artists-j7fb/"
"1685315150-48","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Old Masters and Modern Prints
                            
                            1 September 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1164APP111
                                    

                                    
                                        Auction turnover :
                                        144,720 PLN","https://desa.pl/en/art-auctions-results/old-masters-and-modern-prints-b3e9/"
"1685315150-49","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Contemporary Prints
                            
                            30 August 2022 7 PM CET
                                    
                                        Auction location: Warszawa
                                    

                                        Auction code: 1163APP110
                                    

                                    
                                        Auction turnover :
                                        316,200 PLN","https://desa.pl/en/art-auctions-results/contemporary-prints/"
"1685315150-50","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Post-War and Contemporary
                            
                            25 August 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1160ASW108
                                    

                                    
                                        Auction turnover :
                                        3,719,400 PLN","https://desa.pl/en/art-auctions-results/post-war-contemporary-1160asw108/"
"1685315150-51","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Young Polish Artists
                            
                            23 August 2022 7 PM CET
                                    
                                        Auction location: ul. Piękna 1A, Warszawa
                                    

                                        Auction code: 1158AMS147
                                    

                                    
                                        Auction turnover :
                                        225,960 PLN","https://desa.pl/en/art-auctions-results/young-polish-artists-octv/"
"1685315150-52","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Young Polish Artists
                            
                            13 August 2022 6 PM CET
                                    
                                        Auction location: Sofitel Grand Sopot
Powstańców Warszawy 12/14
Sopot
                                    

                                        Auction code: 1153AMS146
                                    

                                    
                                        Auction turnover :
                                        383,520 PLN","https://desa.pl/en/art-auctions-results/young-polish-artists-35gr/"
"1685315150-53","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","The Kossak Family
                            
                            12 August 2022 6 PM CET
                                    
                                        Auction location: Hotel Sofitel Grand Sopot
Powstańców Warszawy 12/14 St
                                    

                                        Auction code: 1152MON010
                                    

                                    
                                        Auction turnover :
                                        2,833,200 PLN","https://desa.pl/en/art-auctions-results/the-kossak-family/"
"1685315150-54","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Magical Art. Surrealism & Magic Realism
                            
                            11 August 2022 6 PM CET
                                    
                                        Auction location: Grand Hotel, Sopot
                                    

                                        Auction code: 1150ASW107
                                    

                                    
                                        Auction turnover :
                                        841,920 PLN","https://desa.pl/en/art-auctions-results/magical-art-surrealism-magic-realism/"
"1685315150-55","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Young Polish Artist
                            
                            28 July 2022 7 PM CET
                                    
                                        Auction location: ul. Piękna 1A, Warszawa
                                    

                                        Auction code: 1144AMS145
                                    

                                    
                                        Auction turnover :
                                        217,680 PLN","https://desa.pl/en/art-auctions-results/young-polish-artist-717q/"
"1685315150-56","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Young Polish Artists
                            
                            14 July 2022 7 PM CET
                                    
                                        Auction location: ul. Piękna 1A, Warszawa
                                    

                                        Auction code: 1137AMS144
                                    

                                    
                                        Auction turnover :
                                        290,160 PLN","https://desa.pl/en/art-auctions-results/young-polish-artists-m40v/"
"1685315150-57","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Art Outlet. Modern Art
                            
                            12 July 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1135WYP067
                                    

                                    
                                        Auction turnover :
                                        620,640 PLN","https://desa.pl/en/art-auctions-results/art-outlet-sztuka-wspolczesna-p5cj/"
"1685315150-58","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Art Outlet. 19th Century and Modern Art
                            
                            7 July 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1132WYP066
                                    

                                    
                                        Auction turnover :
                                        1,142,400 PLN","https://desa.pl/en/art-auctions-results/art-outlet-19th-century-and-modern-art-4mme/"
"1685315150-59","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Post-War & Contemporary Art
                            
                            30 June 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1126ASW106
                                    

                                    
                                        Auction turnover :
                                        4,323,000 PLN","https://desa.pl/en/art-auctions-results/post-war-contemporary-art-9qdh/"
"1685315150-60","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Ars Erotica 
                            
                            28 June 2022 7 PM CET
                                    
                                        Auction location: Warszawa, Piękna 1A street
                                    

                                        Auction code: 1125ASW105
                                    

                                    
                                        Auction turnover :
                                        393,240 PLN","https://desa.pl/en/art-auctions-results/ars-erotica/"
"1685315150-61","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Young Polish Artist
                            
                            27 June 2022 7 PM CET
                                    
                                        Auction location: ul. Piękna 1A, Warszawa
                                    

                                        Auction code: 1124AMS143
                                    

                                    
                                        Auction turnover :
                                        203,040 PLN","https://desa.pl/en/art-auctions-results/young-polish-artist-g4qg/"
"1685315150-62","https://desa.pl/en/wyniki-aukcji-dziel-sztuki/?desa_department=&date_from=&year_from=2022&auction_kind=live","Aukcja Nieruchomości - Augustiańska 15, Kraków
                            
                            27 June 2022 4 PM CET
                                    
                                        Auction location: Warszawa, ul. Piękna 1A","https://desa.pl/pl/aukcja-nieruchomosci-augustianska-15/"
